ID;Nom;Genre;Age;Département;Poste;Contrat;Statut;Ville;Salaire;Ancienneté_ans;Jours_absence;Satisfaction_score;Date_entrée;Date_sortie
EMP0001;Employé 1;F;28;Finance;Analyste Financier;CDI;Actif;Paris;39395;17;18;3.6;21/12/2007;
EMP0002;Employé 2;M;57;Finance;Contrôleur de Gestion;CDI;Démissionnaire;Lyon;82987;6;7;3.6;13/08/2018;30/12/2024
EMP0003;Employé 3;F;43;IT;DSI;CDI;Actif;Paris;40156;3;12;2.7;09/07/2021;
EMP0004;Employé 4;F;27;Operations;Opérateur;CDD;Démissionnaire;Marseille;66427;17;20;4.0;04/07/2007;06/08/2024
EMP0005;Employé 5;F;40;Commercial;Commercial;CDI;Licencié;Toulouse;58512;2;3;3.5;14/05/2022;22/07/2024
EMP0006;Employé 6;F;39;Marketing;Community Manager;CDI;Actif;Lille;37358;20;19;4.1;07/04/2004;
EMP0007;Employé 7;M;57;Commercial;Account Manager;CDD;Actif;Lille;70504;7;24;4.4;07/09/2017;
EMP0008;Employé 8;F;58;RH;Assistant RH;CDD;Actif;Paris;55869;10;20;3.7;08/02/2014;
EMP0009;Employé 9;F;57;Logistique;Logisticien;CDI;Actif;Lille;62438;17;23;4.0;13/03/2007;
EMP0010;Employé 10;M;27;Juridique;Responsable Juridique;CDI;Actif;Marseille;42371;1;4;4.1;18/01/2023;
EMP0011;Employé 11;M;51;Juridique;Avocat interne;CDI;Actif;Nantes;60953;16;17;4.7;30/12/2008;
EMP0012;Employé 12;M;32;Finance;Comptable;CDI;Actif;Marseille;28425;14;23;4.7;23/08/2010;
EMP0013;Employé 13;M;34;IT;Développeur;CDI;Retraité;Nantes;77009;4;24;2.9;05/04/2020;31/12/2024
EMP0014;Employé 14;M;41;Marketing;CMO;CDI;Actif;Toulouse;35592;7;7;4.7;23/11/2017;
EMP0015;Employé 15;M;30;Finance;DAF;CDI;Retraité;Toulouse;90296;4;17;2.9;06/04/2020;29/07/2024
EMP0016;Employé 16;F;41;Juridique;Juriste;Alternance;Retraité;Lille;76944;12;14;4.7;17/05/2012;01/12/2024
EMP0017;Employé 17;F;57;Commercial;Account Manager;CDI;Actif;Nantes;56864;7;0;2.7;13/02/2017;
EMP0018;Employé 18;M;54;RH;Responsable RH;CDI;Actif;Lyon;64500;7;21;3.7;01/04/2017;
EMP0019;Employé 19;M;48;IT;DSI;CDI;Retraité;Toulouse;40363;6;3;4.1;05/07/2018;14/09/2024
EMP0020;Employé 20;F;47;Juridique;Responsable Juridique;CDI;Licencié;Lyon;42322;10;7;3.0;04/04/2014;08/09/2024
EMP0021;Employé 21;M;26;IT;DSI;CDI;Actif;Paris;40833;14;1;4.1;03/04/2010;
EMP0022;Employé 22;M;52;RH;Chargé RH;CDI;Actif;Marseille;80565;6;1;2.9;01/01/2019;
EMP0023;Employé 23;M;57;Juridique;Responsable Juridique;CDD;Actif;Lille;48289;15;6;3.2;06/12/2009;
EMP0024;Employé 24;M;54;RH;Assistant RH;CDI;Actif;Marseille;48635;16;1;4.9;24/11/2008;
EMP0025;Employé 25;F;29;IT;Développeur;Alternance;Actif;Marseille;60271;18;18;4.0;22/02/2006;
EMP0026;Employé 26;M;38;Finance;DAF;Alternance;Démissionnaire;Bordeaux;69180;6;7;3.2;27/10/2018;13/07/2024
EMP0027;Employé 27;F;51;Operations;Directeur Opérations;CDI;Retraité;Lyon;41104;19;2;3.8;21/04/2005;25/10/2024
EMP0028;Employé 28;M;32;IT;Chef de Projet IT;CDI;Actif;Bordeaux;67651;14;19;5.0;04/02/2010;
EMP0029;Employé 29;M;28;RH;Assistant RH;CDI;Actif;Lyon;48374;17;8;3.2;20/09/2007;
EMP0030;Employé 30;M;25;Marketing;Community Manager;CDI;Démissionnaire;Bordeaux;83518;2;8;2.6;15/07/2022;28/11/2024
EMP0031;Employé 31;M;22;Operations;Responsable Opérations;CDD;Démissionnaire;Nantes;37862;3;22;4.8;28/03/2021;22/12/2024
EMP0032;Employé 32;F;45;Marketing;Community Manager;CDD;Actif;Bordeaux;74898;1;6;4.2;25/01/2023;
EMP0033;Employé 33;M;31;Finance;Comptable;Alternance;Retraité;Nantes;49299;7;25;4.5;05/06/2017;25/12/2024
EMP0034;Employé 34;F;32;IT;Chef de Projet IT;CDD;Retraité;Bordeaux;78140;3;1;4.6;10/09/2021;10/11/2024
EMP0035;Employé 35;F;23;Logistique;Responsable Logistique;CDI;Retraité;Paris;80227;6;10;3.2;28/11/2018;21/10/2024
EMP0036;Employé 36;F;38;Marketing;CMO;Alternance;Actif;Lyon;62795;5;1;2.8;25/05/2019;
EMP0037;Employé 37;M;46;Marketing;Responsable Marketing;CDD;Démissionnaire;Lyon;52914;18;8;2.6;27/05/2006;31/12/2024
EMP0038;Employé 38;M;42;Commercial;Directeur Commercial;CDD;Actif;Nantes;67363;3;16;3.3;06/06/2021;
EMP0039;Employé 39;F;48;Marketing;CMO;CDI;Démissionnaire;Paris;50810;12;19;3.9;10/06/2012;13/08/2024
EMP0040;Employé 40;M;59;RH;Assistant RH;CDI;Actif;Toulouse;70237;19;14;3.6;25/01/2005;
EMP0041;Employé 41;F;54;Commercial;Chargé de clientèle;CDI;Licencié;Bordeaux;71933;20;2;4.5;07/09/2004;12/07/2024
EMP0042;Employé 42;F;37;Operations;Responsable Opérations;CDI;Actif;Lyon;37545;15;14;3.5;16/02/2009;
EMP0043;Employé 43;F;22;Commercial;Chargé de clientèle;CDD;Actif;Paris;83724;3;7;2.9;10/01/2021;
EMP0044;Employé 44;F;30;Logistique;Logisticien;Alternance;Actif;Marseille;69588;14;24;4.7;25/02/2010;
EMP0045;Employé 45;M;38;Juridique;Avocat interne;CDD;Actif;Marseille;64347;7;24;4.4;29/04/2017;
EMP0046;Employé 46;M;39;Commercial;Directeur Commercial;CDD;Actif;Paris;69904;10;17;2.7;18/10/2014;
EMP0047;Employé 47;F;48;Commercial;Chargé de clientèle;CDI;Licencié;Lyon;71369;13;17;3.7;04/12/2011;09/11/2024
EMP0048;Employé 48;F;58;Juridique;Responsable Juridique;Alternance;Licencié;Toulouse;90518;12;0;4.9;04/08/2012;23/09/2024
EMP0049;Employé 49;M;53;Juridique;Avocat interne;Alternance;Retraité;Paris;63774;7;13;3.7;17/06/2017;06/10/2024
EMP0050;Employé 50;M;61;Juridique;Avocat interne;CDI;Retraité;Paris;31534;17;12;4.0;31/01/2007;25/12/2024
EMP0051;Employé 51;M;25;Finance;DAF;CDI;Retraité;Paris;77689;8;10;3.0;19/07/2016;06/10/2024
EMP0052;Employé 52;F;23;Juridique;Responsable Juridique;CDD;Actif;Marseille;34826;17;11;3.1;01/12/2007;
EMP0053;Employé 53;F;31;RH;Chargé RH;CDI;Actif;Nantes;44544;7;15;4.2;20/03/2017;
EMP0054;Employé 54;M;60;Commercial;Chargé de clientèle;CDI;Retraité;Paris;43012;19;24;4.5;30/07/2005;04/12/2024
EMP0055;Employé 55;M;34;RH;Assistant RH;Alternance;Licencié;Marseille;59830;2;3;4.2;31/07/2022;09/07/2024
EMP0056;Employé 56;M;45;Finance;Analyste Financier;CDI;Démissionnaire;Lille;94317;2;20;3.4;31/05/2022;28/08/2024
EMP0057;Employé 57;M;31;Finance;DAF;CDI;Licencié;Lille;51086;13;23;3.8;05/02/2011;23/10/2024
EMP0058;Employé 58;M;42;Logistique;Responsable Logistique;CDD;Retraité;Bordeaux;39359;7;8;4.7;31/08/2017;04/09/2024
EMP0059;Employé 59;M;53;Juridique;Responsable Juridique;CDI;Actif;Paris;74507;6;25;3.1;12/08/2018;
EMP0060;Employé 60;F;48;Operations;Opérateur;Alternance;Actif;Paris;59499;15;22;3.7;05/01/2009;
EMP0061;Employé 61;M;47;Logistique;Responsable Logistique;CDI;Actif;Paris;68135;7;21;4.0;05/05/2017;
EMP0062;Employé 62;M;51;Marketing;CMO;Alternance;Actif;Lille;68189;8;8;3.1;26/09/2016;
EMP0063;Employé 63;F;35;Marketing;Chargé Marketing;Alternance;Retraité;Paris;64241;15;23;4.0;11/04/2009;01/08/2024
EMP0064;Employé 64;F;33;Operations;Opérateur;CDI;Actif;Bordeaux;29854;9;22;3.8;16/08/2015;
EMP0065;Employé 65;F;53;RH;Chargé RH;Alternance;Actif;Lille;29607;3;18;3.2;01/05/2021;
EMP0066;Employé 66;M;52;Logistique;Responsable Logistique;CDI;Actif;Toulouse;36564;3;12;3.7;12/03/2021;
EMP0067;Employé 67;M;27;RH;Responsable RH;CDI;Retraité;Bordeaux;43525;7;17;4.4;26/02/2017;01/08/2024
EMP0068;Employé 68;M;59;Commercial;Chargé de clientèle;CDD;Actif;Toulouse;68026;13;18;4.1;26/02/2011;
EMP0069;Employé 69;F;37;Finance;Contrôleur de Gestion;CDI;Actif;Paris;37838;5;5;2.5;17/05/2019;
EMP0070;Employé 70;M;40;Logistique;Responsable Logistique;CDI;Actif;Lille;37329;14;21;3.1;22/08/2010;
EMP0071;Employé 71;F;31;Commercial;Chargé de clientèle;CDI;Démissionnaire;Lille;46643;8;2;2.6;29/07/2016;01/08/2024
EMP0072;Employé 72;M;47;Operations;Directeur Opérations;CDI;Actif;Lille;93597;8;17;3.7;22/11/2016;
EMP0073;Employé 73;M;27;RH;DRH;CDI;Démissionnaire;Lyon;30719;7;24;4.2;18/08/2017;06/08/2024
EMP0074;Employé 74;M;33;RH;Responsable RH;CDD;Démissionnaire;Bordeaux;85132;18;20;4.5;20/11/2006;02/09/2024
EMP0075;Employé 75;F;32;Marketing;CMO;CDI;Actif;Toulouse;81955;10;22;3.7;29/01/2014;
EMP0076;Employé 76;F;38;Juridique;Avocat interne;CDI;Actif;Bordeaux;43194;10;24;3.5;15/04/2014;
EMP0077;Employé 77;F;45;RH;DRH;CDD;Actif;Nantes;93338;19;20;3.6;10/12/2005;
EMP0078;Employé 78;M;53;Commercial;Directeur Commercial;Alternance;Actif;Marseille;31783;3;20;4.0;01/09/2021;
EMP0079;Employé 79;M;27;IT;Chef de Projet IT;Alternance;Actif;Marseille;42871;7;14;4.9;05/02/2017;
EMP0080;Employé 80;M;52;IT;DSI;CDI;Démissionnaire;Marseille;59946;15;14;3.9;22/06/2009;13/11/2024
EMP0081;Employé 81;M;54;IT;Développeur;CDI;Retraité;Bordeaux;28336;8;9;4.3;08/03/2016;05/08/2024
